Star Rating,Review Title,Review Description
5.0 out of 5 stars,Best product and best price,"The media could not be loaded.The sound is good and the camera is also great and the battery life is good. The mobile does not hang and the mobile display touch is great. And the size is also good and the smoothness is great, it's fun to use.And the blur camera works well.Read more"
5.0 out of 5 stars,Best  vivo phone ever under 20k,Amazing phone for daily use.  Battery life good ...  Also all re performance goodRead more
5.0 out of 5 stars,Battery....,Excellent phone in low budget......Read more
4.0 out of 5 stars,Ok ok phone,Camera is not so good. But phone is ok.Read more
5.0 out of 5 stars,nothing,good productRead more
3.0 out of 5 stars,The processor is very slow.,"The phone runs slowly, it says 8gb ram but it is very slow.Read more"
5.0 out of 5 stars,Redmi A5 is an excellent mobile phone.,This mobile is as per my expectations. It is excellent. Highly recommended for anyone looking for a 3GB RAM and 64 GB storage smartphone. Worth to purchase.Read more
5.0 out of 5 stars,Awesome Product.,Awesome Product.Read more
4.0 out of 5 stars,uses of electric,"value of money, nice to useRead more"
1.0 out of 5 stars,Before buying make sure about the replacement policy/refund policy. It's sheer harrasment.,"The media could not be loaded.Extremely Disappointed – Defective Phone and PATHETIC CUSTOMER SERVICEI am highly disappointed with this purchase. The phone was defective right out of the box and got stuck in a continuous boot loop without even reaching the setup screen. For a brand-new device, this is completely unacceptable and reflects very poor quality control.What made the experience worse was the customer service. The support process was slow, unhelpful, and lacked any sense of urgency. Instead of providing a quick and smooth resolution for a clearly defective product, the response felt indifferent and frustrating. I was multiple times referred to different team and in the end I was given a solution , that I had to wait 3-4 days and only after that a decision will be taken whether the phone should be returned/replaced. Now I needed that phone and had paid 8k ,and now I have to wait for 3-4 days and then again I am not sure whether it will be replaced or returned.  As a customer, I expected professionalism and prompt assistance, but the service was truly disappointing.Buying a new phone should be an exciting experience, not a stressful one. Unfortunately, this purchase turned into a complete waste of time and effort. I would strongly advise potential buyers to be cautious, both about the product quality and the after-sales support.Overall, a very unsatisfactory experience.Read more"
5.0 out of 5 stars,Great mobile at this cost,Great mobile at this costValue for money camera is great at this cost.Read more
3.0 out of 5 stars,Value for money product,Good phoneRead more
5.0 out of 5 stars,Delivered as expected.,Nice and decent product.Read more
5.0 out of 5 stars,Best product,Battery lifeRead more
5.0 out of 5 stars,Title Zeno phone,Mobile Mobile Phone:what is the price of Zeno 100 ? Good phone delivery was perfect but i have forgotten the cost How can you help me to find that Appearance lovelyRead more
2.0 out of 5 stars,Complimentary,No complimentary of headphones airpots no.Read more
5.0 out of 5 stars,Mast,MastRead more
5.0 out of 5 stars,Value for money,Nice mobile.Read more
4.0 out of 5 stars,Connectivity issues 🛜⚠️,"Phone is good with good battery life, Mic quality is also good. But the problem is in the connectivity. It stops calling functions frequently. Even in the full network coverage Incoming and outgoing calls gets blocked automatically. You will only come to know the problem when you will try to make a call but you can't. The problem will solve everytime when you switch off and on the device. Except is good 👍Read more"
5.0 out of 5 stars,Nice,Good productRead more
3.0 out of 5 stars,Phone is bad,BadRead more
4.0 out of 5 stars,Robist,Backside branding is hmd. Sound quality is ok. Nedd old type mini sim. Battery life not like old nokias  but sufficient. Navigation keys hadd to isw correctly. Robust. If you are a studwnt go for it. Best detox phoneRead more
5.0 out of 5 stars,Nokia 105,"I recently purchased the Nokia 105 and I am very happy with my decision. The phone is simple, strong, and very easy to use. The battery backup is amazing – it lasts for many days on a single charge. The sound quality during calls is clear and loud.The keypad is comfortable for typing and the display is bright enough for daily use. It is a perfect phone for calling and basic use, especially for elders or as a secondary phone.Build quality is very solid, just like classic Nokia phones. Totally satisfied with the product. Highly recommended if you want a reliable and budget-friendly phone! 👍Read more"
5.0 out of 5 stars,Best quality,Nice phoneRead more
3.0 out of 5 stars,Many functions not available.,Easy to use but many functions not available. Sound quality is very poor. It show saved contact after you type all numbers. Battery life is also very poor. Better to buy Motorola A100.Read more
5.0 out of 5 stars,"Simple & Clean:  ""Best Budget Smartphone with Solid Performance""","Realme P4x ke saath mera overall experience truly impressive raha hai, aur yeh smartphone apni price range me ek premium feel deliver karta hai. Sabse pehle baat karun iske design ki, to phone ka look kaafi stylish aur modern hai. Iska slim profile aur solid build quality ise haath me pakadne par ek high-end device jaisa feel deta hai, jo aaj ke users ke liye kaafi important factor hai.Display quality bhi is phone ki ek strong highlight hai. Screen bright, vibrant aur smooth hai, jiski wajah se videos dekhna, social media use karna aur gaming ka experience kaafi enjoyable ho jata hai. Colors natural aur eye-friendly lagte hain, jo long usage me bhi comfort maintain karte hain.Performance ki baat karein to Realme P4x daily tasks me bilkul smooth chalta hai. Multitasking ho ya heavy apps use karna, phone easily handle kar leta hai bina kisi noticeable lag ke. Gaming lovers ke liye bhi yeh ek achha option hai, kyunki graphics aur response time kaafi balanced hai.Battery backup iska ek aur strong point hai. Ek baar full charge karne par yeh phone easily poora din nikal deta hai, jo busy lifestyle ke liye perfect hai. Saath hi fast charging support hone ki wajah se phone jaldi charge ho jata hai, jo kaafi convenient hai.Camera performance bhi kaafi satisfying hai. Daylight me photos sharp aur detailed aati hain, aur colors kaafi natural dikhte hain. Night mode bhi decent kaam karta hai, jo low-light conditions me bhi usable photos capture kar leta hai.Overall, Realme P4x ek complete package hai jo design, performance, battery aur camera sabhi aspects me balanced aur premium experience deta hai. Agar aap ek stylish, reliable aur value-for-money smartphone dhoond rahe hain, to yeh device definitely consider karne layak hai.Read more"
4.0 out of 5 stars,Budget option,Phone quality is very good in this price range. This is my 3rd Realme product. I love this brand. Very user friendly UI. Display is decent. Size and weight wise it's average. The applications run smoothly but RAM is not that powerful and smooth as I expected. I only have shopping applications and still it lags sometimes. Camera quality is quite good with lot of AI features. Can't say about durability though since it came with a cheap screen cover. It is unlikely that it would survive fall or water. So durability wise can't really say. My experience is good overall.Read more
5.0 out of 5 stars,Important front Camera was not good  but back camera was good,best phone under this budget but front camera was not good overall your budget is 15k so definitely you buy this phone this time battery is awesome this photo takes back side cameraRead more
5.0 out of 5 stars,Best choice for regular users,"Realme p4x is a very nice choice for regular users. Good battery life, processor and clear camera make it more user friendly.Read more"
5.0 out of 5 stars,Value for money and good for gaming,"Perfect for gaming but not for camera persons,it's back cam is good but front is awful,it doesn't lag and feels very smooth,you can play Free fire at 120 fps and bgmi at 90 it shows 90 but you will get 70-80 some times 90 in tdm else it is good , but buy when get this 6gb variant under 16k like i took this at 15k it's value for money at actually 14k but now all prices have been increased so if you are thinking to buy wait for any offer if not take as early as possibleRead more"
4.0 out of 5 stars,Good phone you can buy,In this price phone is very good but device is very heavy &  thick not slimRead more
1.0 out of 5 stars,Worst Phone,"Battery drain issue. They claim 7000+ mah but it barely lasts 1 day if used. I just bought it 5 days back. Not recommended at all. Also, buy some different phone on flipkart because Amazon return policy is too bad.Read more"
5.0 out of 5 stars,Good phone,Good  phone and camera quality is good.Read more
5.0 out of 5 stars,Redmi Note 15 Pro Plus,"The Redmi Note 15 Pro+ is an impressive handset that delivers excellent performance at a great value. Its sleek design, vibrant display, and powerful processor make everyday tasks smooth and enjoyable. The camera system captures sharp, detailed photos, while the long-lasting battery ensures you stay connected throughout the day. Overall, it’s a well-balanced phone that combines style, speed, and reliability—perfect for anyone looking for a premium experience without the premium price what more I also got a Redmi Watch absolutely freeRead more"
5.0 out of 5 stars,Redmi Note 15 Pro+,"The Redmi Note 15 Pro+ delivers excellent value for money. The 120Hz AMOLED display is bright, smooth, and perfect for content consumption. The 200MP main camera captures sharp and vibrant photos, especially in daylight. Battery life is impressive — the large battery easily lasts a full day, and fast charging is a big plus.Performance is smooth for daily use, multitasking, and casual gaming. The design feels premium and durable.Overall, it’s a solid mid-range smartphone with flagship-like features at a competitive price. Highly recommended for users who want great display, camera, and battery without overspending.Read more"
5.0 out of 5 stars,Durability,"Value for money it's a good premium phone. Iam upgrading after 6 years of service from my redmi Note 9. The Redmi Note 15 pro plus feels solid in terms of durability. The display is adaptive and very clear, the sound clarity is great with Dolby Atoms on ear pods it also has dual in built speakers for music lovers. Love the Coffee Mocha colour gives a vintage look and feeling. After checking all the global rating I am happy. Over all a good premium phone with a lot of features. The battery charges quickly. Can't wait to check out the gameing performance. All settings can be ajusted as per individual user preference. All the best.Read more"
1.0 out of 5 stars,Poor Product,"I am writing to express my extreme dissatisfaction with the handling of my recent mobile phone purchase. The device I received is faulty and plagued with multiple issues, making it unusable. Despite this, your customer support team has refused to accept a return, citing policy restrictions, and instead directed me to visit a service center.This response is pathetic, unacceptable, and completely against the principles of customer satisfaction that Amazon claims to uphold. As a customer, I should not be forced to waste time and effort dealing with a defective product that was sold to me in the first place.I demand the following:- Immediate approval of a return and full refund for the faulty mobile phone.- A clear explanation of why Amazon is denying responsibility for defective products.- Assurance that such negligence will not be repeated in the future.If this matter is not resolved promptly, I will have no choice but to escalate further through consumer forums, social media, and legal channels. I expect Amazon, as a global leader in e-commerce, to act responsibly and prioritize customer trust over rigid policies.I urge you to take immediate corrective action and provide a resolution without further delay.Read more"
4.0 out of 5 stars,Average... Good working,"Good in Use.... Smooth working. Seamless interface... Nice Camera, too good connectivity, only charging by its own charger successful by other low walt (like 33w, 45w) charging it's became heat... Please take care about itRead more"
5.0 out of 5 stars,Good,"Very excellent phone with excellent camera, excellent battery, excellent display, excellent design and excellent performanceRead more"
5.0 out of 5 stars,Value for money,"Great product...I was using Google Pixel 7 Pro ...broken the display twice and paid almost INR 35K for display replacement....This phone, its camera and battery all working so goodRead more"
5.0 out of 5 stars,Excellent,"Amazing phone from Redmi ! The design is sleek, display is crisp and bright, and the performance is super smooth with 8GB RAM + 256GB storage. The camera quality is top-notch, especially in low light. Battery backup easily lasts a full day with fast charging support.Read more"
5.0 out of 5 stars,A fantastic multimedia and travel phone!!,"A fantastic multimedia and travel phone for those who value a massive battery and a rugged build over raw processing speed.Pros & ConsPros:Insane Battery Life: The 6580mAh battery is a standout, easily lasting 2 days of moderate use. Xiaomi even guarantees 6 years of battery health (retaining 80% capacity after 1600 cycles).""Tank"" Build: It carries extreme IP69K ratings (handling high-pressure steam/water jets) and can survive drops from up to 2.5 meters.Stunning Display: The 3200-nit peak brightness makes it one of the most visible screens outdoors in its price bracket.Detailed Main Camera: The 200MP sensor takes sharp, vibrant landscape shots in good lighting.Cons:Average Charging: At 45W, it takes about an hour to charge the massive battery—slower than many competitors.Middling Performance: The Dimensity 7400-Ultra handles daily tasks smoothly but struggles with high-end gaming at maximum settings.Storage Speed: It uses UFS 2.2 storage, which feels a bit dated for a ""Pro"" model in 2026.Secondary Cameras: The 8MP ultra-wide is just ""okay"" and lacks the punch of the main sensor.If you are someone who drops their phone often, travels frequently without a charger, or watches a lot of movies on the go, this is a top-tier choice.Read more"
5.0 out of 5 stars,Redmi note 15 pro 5g,"Good compact size phone. After using of 2-3 days. Over all good phone.Smooth display and performance.Feel good slimnessBattery easily a day with heavy useGood connectivityCamera is good but not feel 200mbpsI'm not gammer so not try. But haveli using Internet, social and browsing. It's does the job.I upgraded my Redmi 12 5g to Note 15 pro . Cost wise too high.  This should be 25k rangeRead more"
1.0 out of 5 stars,Every things in the phone has some fault and proper working,"Price is too high as compare to  vivo oppo and motorola handset of sane feature... Hang problem, customer care asked charged for repair whether phone is in warranty period.. Next I humble request to all citizens of India please not buy xiomi redmi phone..Read more"
5.0 out of 5 stars,Nice one,"I don't face any kind of issue in the device good battery, not heating problem , durable , camera is good.overall a good device , smooth performance and best in budget.Read more"
5.0 out of 5 stars,Outstanding Phone by XIAOMI,Outstanding product ⭐️⭐️⭐️⭐️⭐️.Best in this price segment . HUGE battery backup really impressed.  The phone is very light weight and has full amoled display loved playing videos . The phone also came with good stotage of 128 gb . I liked how the looked and felt in hand . Thank you Redmi for an awsome phone affordable for everyone..Read more
4.0 out of 5 stars,Camera Phone,Great CameraGood touch responseBattery capacity is goodPrice is little expensive 32kDisplay resolution goodSim tray quality not goodWeight management good as per big batteryLook wish goodIn-hand feel good 👍🏻Read more
5.0 out of 5 stars,Awesome Product from Xiaomi,"The 200MP main sensor captures excellent detail, especially in landscapes and architectural shots, producing sharp and vibrant images.Featuring “Titan Durability,” the device carries an IP69K rating, offering protection against high-pressure water jets and submersion. It is also SGS-certified for drop resistance of up to 2.5 metersThe massive 6,580mAh battery easily delivers up to two days of usage under normal conditions and is paired with a 45W charging adapter for quick top-ups.Read more"
5.0 out of 5 stars,Superb Model.,Very fabulous design with build quality & also look is so nice battery back -up so powerful with camera picture very natural & Processer was so smoothRead more
5.0 out of 5 stars,Value for money product.,"Sleek design with a slim, premium-looking case.Build quality feels solid and durable.Sound is clear, balanced, and enjoyable.Battery life is long-lasting.Connectivity is smooth with fast pairing.Read more"
5.0 out of 5 stars,Great Budget Earbuds with Strong Battery & Bass 🔋🎧,"The GOBOULT Y1 v2.0 earbuds are a great choice in the budget segment. The battery backup is excellent and easily lasts for days with normal use. Sound quality is bass-heavy, which is good for music and casual listening, though not the best for very clear vocals. Calling quality is decent with ENC, and low latency mode works well for gaming. Design is stylish and comfortable to wear. Overall, a value-for-money product if you want good features at a low price.Read more"
5.0 out of 5 stars,Amazing quality buds,"These earbuds in Blue Teal offers incredible value with deep 13mm bass and seamless Bluetooth 6.0 dual-device pairing.​The 60-hour battery life and Zen Quad Mic ENC make it perfect for long workdays, while the 45msRead more"
4.0 out of 5 stars,Sound and design,Product is good but the material is not scarch proof it is getting scratches easily.But sound is goodRead more
5.0 out of 5 stars,Good Product,"Nice product, sound quality acha he, Battery backup acha hai 1 baar charge karne pe 2 days tak chala, colour bhi unique he, mujhe ye product best laga, value for money he.Read more"
5.0 out of 5 stars,top class buds,"these wireless earbuds look very stylish and come in a nice, small case. They are very lightweight, so your ears won't feel tired after wearing them. The sound is loud and clear. the battery is amazing and lasts for a very long time on one charge. overall these are a great choice for anyone who wants good music and a long battery.Read more"
5.0 out of 5 stars,Good Earbuds,"Sound quality is impressive with strong bass. ENC mic works well on calls voice clarity is clear even in noisy environments. Bluetooth 6.0 connects instantly, no drops. Touch controls are responsive. Battery life is excellent for the price. Blue Teal colour looks premium. Highly recommendedRead more"
5.0 out of 5 stars,nice buds.,"boult earbuds offer good value for a budget price. The sound quality is bass-heavy, suitable for music lovers.battery life is impressive and last many hours on a single charge. Fast charging is support is useful for quick usage.Gaming mode provides low latency for better performance.Read more"
5.0 out of 5 stars,Excellent product,"I don't usually write reviews, but this product has forced me to.... I bought this in August,2023 for around Rs. 2300... I don't usually spend more than 1k on earbuds... But I was looking for good battery backup at that time and came accross this Boat Nirvana Ion... seriously, this is my best buy till date in earbuds... I use it daily and using it till now, almost 3yrs... Battery backup is still excellent and sound is also good.Read more"
4.0 out of 5 stars,"Compact would be better, but sound is good..","These earbuds are great overall, but the size of the buds is a bit large for my liking. If they were smaller, they'd be way more comfortable. Sound quality's good though, and battery life's solid. 👍""Read more"
5.0 out of 5 stars,Bought it for its battery back-up but got more,"Let me start with the elephant in the room claim - 24 hours battery back up from buds alone. I received this TWS around 6:45 in the evening, took about a couple  minutes to check the box contents and make sure the TWS was in perfect condition. Paired them with my phone only to find out the earbuds had 100% charge, so I started using them. I initiated my ""testing"" at 7 p.m. with The Jurassic Park (1993) at about 80% volume. 2 hours later, the buds had ~93% charge left. I said, ""Challenge accepted!"", and then watched the sequel, The Lost World (1997). Another 2 hours and some odd minutes later, the time was 11:10 p.m., the left bud showed 86% battery and the right was at 85%. At this point, I could see myself losing the battle, but I didn't wanna give up. I thought to myself, ""Maybe if I tried harder, I'd win."" But time, as always, wasn't on my side. It was 11:20 p.m., the silence of the night could be heard loudly and the fatigue of the day was catching up to me, when suddenly, an idea popped into my head. I rushed over to YouTube, searched for a 10 hour heavy metal music video, hit the play button, increased the earbuds volume to 100%, and then put both my phone and the buds on the bedside table grinning to myself thinking, ""Yeah, survive that."", and called it a night. The morning came and as my vision cleared up to show 7:20 a.m. on the clock, I reached out to my phone, assuredly and confidently convinced, I had won the war.I didn't. The right bud was at 41% and the left at 45%. At this juncture, I gladly accepted my defeat and decided to write this story, a story of a brave TWS, a story that will never be in any history books, a story where the eternal TWS won against its sadistic owner.As for the rest, I will keep it brief;In-ear Detection: Works very well, no complaints.Sound Quality: Signature mode is too bass-y, not for me, for sure. Balance mode does the job and it does it well.Call quality: THE BEST. Tested against Boat Rockers 255 Neo, Boult Audio X50, Dizo GoPods Neo, Realme T100.Build Quality: Buds good. Case lid, when closed, has a slight wobble to it. Everything else is upto the mark.One final remark would be in-ear fitting, and thus, noise isolation. I find these buds to provide noise isolation as good as Dizo Gopods Neo with its 25Db ANC mode on. It almost feels like they were custom made for my ears. But do keep in mind that this can and will differ from person to person.Thank you for your time and I hope I didn't waste it.Read more"
1.0 out of 5 stars,The Ultimate Disappointment: A Scathing Review of the Worst Earbuds I’ve Ever Used,"The media could not be loaded.Let me preface this review by saying I’ve tested countless earbuds over the years, ranging from budget-friendly options to premium audiophile gear. Never in my life have I encountered a product as fundamentally flawed, poorly designed, and outright infuriating as these earbuds. If you’re considering purchasing these for gaming purposes, casual listening, or even as a backup pair—STOP. Save your money, your sanity, and your ears. From the abysmal mic functionality to the laughable sound quality, and the build quality that feels like it was engineered by someone who’s never held a pair of earbuds before, this product is a masterclass in failure. Let’s break down why these earbuds are an insult to the very concept of functionality, clarity, and performance.1. Mic Functionality: A Joke for Gaming PurposesLet’s start with the mic functionality, a feature that’s absolutely critical for gaming purposes or even casual Zoom calls. If you’re buying earbuds to communicate with teammates, stream, or participate in online meetings, prepare to be humiliated. The microphone picks up every conceivable noise except your voice. Background chatter, the faint hum of your refrigerator, even your dog barking three rooms away—all of it is crystal clear. But your actual voice? Muffled, distorted, and buried under a layer of static that makes you sound like you’re speaking through a tin can underwater.During a critical raid in my favorite MMO, my teammates repeatedly asked, “Are you chewing gravel? Why does your mic sound like a broken walkie-talkie?” When I switched to these earbuds’ mic functionality, the response was unanimous: “Never use these again.” For gaming purposes, where clear communication is non-negotiable, this mic is a liability. Even after tweaking settings, updating drivers, and screaming into the microphone like a madman, the clarity never improved. It’s almost impressive how a company could engineer a microphone this bad.2. Gaming Purpose? More Like “Game Over”Speaking of gaming purposes, these earbuds fail on every front. Latency is so severe that actions in-game—like gunfire or footsteps—are delayed by a full second, making competitive play impossible. Imagine hearing an enemy’s shotgun blast after you’ve already been respawned. The lack of clarity in spatial audio means you can’t distinguish between sounds coming from your left or right, a death sentence in shooters or horror games.But the real kicker? The performance of these earbuds under load is laughable. After just 30 minutes of use, they overheat to the point of discomfort, and the audio begins to crackle like a campfire. For a product marketed toward gaming purposes, the complete disregard for basic functionality is staggering.3. Functionality: A Textbook Example of “How Not to Design Earbuds”The functionality of these earbuds is so counterintuitive, it feels like a prank. The touch controls are hypersensitive yet unresponsive—a paradox that defies logic. Adjusting the volume? Prepare for a 50/50 chance of either muting the audio entirely or triggering your voice assistant. The companion app, which promises to “enhance your experience,” is a glitchy mess that crashes more often than a toddler’s toy car.Even basic functionality like pairing the earbuds to a device is a nightmare. They disconnect randomly, refuse to reconnect unless reset, and occasionally pair to the wrong device altogether (yes, my smart fridge now has audio privileges). For a product that claims to prioritize performance, the sheer lack of reliability is inexcusable.4. Clarity? More Like “Muddy Mess”If you value clarity in your audio experience, steer clear. The sound profile is so unbalanced it’s comical. Bass is overblown to the point of distortion, mids are nonexistent, and highs are shrill enough to shatter glass. Listening to music feels like being trapped in a nightclub with blown-out speakers—except even nightclubs have better sound quality.For podcasts or audiobooks, the lack of clarity turns every narrator into a garbled mess. Voices blend into the background noise, and subtle details are drowned out by the earbuds’ own hissing. Even at maximum volume, dialogue feels distant, as if the speaker is standing in another room. The sound quality isn’t just bad—it’s offensive.5. Performance: A Race to the BottomThe performance of these earbuds is a slap in the face to anyone who’s ever used a functional pair. The battery life, advertised as “up to 8 hours,” barely lasts two hours at 50% volume. And charging them? The case takes longer to power up than a medieval siege engine. Even the earbuds functionality during calls is a disaster. Every conversation becomes a game of “Guess What I Said,” with the other person constantly asking you to repeat yourself.Under stress—like multitasking between apps or running background downloads—the performance nosedives further. Audio stutters, the mic cuts out, and the earbuds emit a high-pitched whine that could double as a dog whistle. For a product that claims to prioritize performance, it’s clear no one tested these under real-world conditions.6. Earbuds Functionality: A Comedy of ErrorsThe earbuds functionality extends beyond poor sound and controls. The ergonomic design is a joke. They don’t fit securely in any ear shape, requiring constant adjustments mid-use. During a jog, one earbud flew out and nearly became roadkill. The “sweat-resistant” coating? A myth. After one gym session, the left earbud shorted out, emitting a smell akin to burnt plastic.Even simple tasks, like skipping a track or answering a call, require Herculean effort. The touch-sensitive areas are tiny and poorly mapped, leading to accidental hangs-ups or unintended playlist shuffles. For earbuds functionality that’s supposed to simplify your life, these add nothing but frustration.7. Sound Quality: An Assault on the SensesThe sound quality is where these earbuds truly cement their status as the worst on the market. The audio is flat, tinny, and devoid of depth—like listening to music through a cardboard tube. Genres that rely on nuance, like classical or jazz, are rendered unrecognizable. Rock and pop tracks lose their energy, with guitars sounding like kazoos and vocals like autotuned robots.Even for non-audiophiles, the sound quality is unbearable. Watching movies? Dialogue is drowned out by inconsistent volume levels, and action scenes lack punch. The lack of clarity and dynamic range makes every audio experience feel like a punishment.8. Build Quality: Cheap, Flimsy, and Downright DangerousThe build quality is a testament to corner-cutting. The plastic feels like it was salvaged from a dollar-store toy, with seams that creak under minimal pressure. The charging case’s lid wobbles like a loose tooth, and the earbuds themselves are so fragile, I’m afraid to breathe on them too hard.Within a week, the right earbud’s mesh grill fell off, exposing the speaker to dust and debris. The charging pins corroded after minimal use, and the case’s hinge now emits a death rattle every time it’s opened. For a product that costs more than a meal for two, the build quality is unforgivable.Conclusion: A Perfect Storm of FailureIn summary, these earbuds fail at every metric: mic functionality, gaming purposes, functionality, clarity, performance, earbuds functionality, sound quality, and build quality. They’re poorly designed, shoddily constructed, and utterly unfit for any use case. The sound quality is grating, the mic functionality is a joke, and the build quality is a safety hazard.If you value your time, money, and sanity, avoid these earbuds at all costs. For gaming purposes, communication, or even passive listening, there are countless better options—including earbuds half the price. These aren’t just bad; they’re an insult to the very idea of technology.Final Verdict: 0/10. The only thing these earbuds excel at is making you regret your purchase.Read more"
5.0 out of 5 stars,Review after 2 years of hardcore usage.,"Been using it for 2 years. and for its price (1800 back then) its really good. now that after hardcore use of 2 years and dropping it down a billion times, its come in two piece, like semi, broken. but i can just put it back together. if you plan on using super hardcore everyday for 2 years then go for it. if you are more careful than i am with it then it'll last longer for sure. Nice volume and sound aswell. Apart form that i an now having some issues with compatibility. idk if its my phone or new software update. really durable and good, personally its great. (Note: I listen music/use for gaming/in calls. so i use it every single day for 6-8 hours at the very least)Read more"
5.0 out of 5 stars,Good product,Product is very good. Excellent battery life. Sound quality top notch 👍Read more
5.0 out of 5 stars,"Marvellous , awe inspiring , built like steel , GO FOR IT..!!!","Alright everyone , please read this review carefully as it's 6 july 2025 today and on the 23rd of August 2025 , i will have spent 2 years using these awesome and marvellous earbuds... These have been 2 years of extreme , rigorous and very very careless usage and these earphones are still in prime condition, needless to add I'm an avid consumer of music ,l wear my earbuds almost all day long , I've worn them in the gym , while running , they've seen a lot of sweat , a lot of earwax , most of the days ,i fall asleep while wearing them and get up with them either under them or on the floor, I've been very very merciless with these earbuds , I have not used them ,I have exploited them, after allll of this ,  they're still in prime condition, the mic on these works extremely well, they charge pretty quickly , the box takes a little longer to get fully charged but it lasts for a long time , call quality, voice quality , everything is awesome , their response to your touch is also very durable and awesome , it happens ever so oftent that I'm in the gym and my phone is drenched in sweat and it's screen starts malfunctioning and as a result I can't take calls , but thanks to these earphones , even after all the sweat and moisture they respond to my touch instantly amd I'm able to take calls , in the gym, while driving, 2 wheelers , 4 wheelers , everything...you know I lost their charging box somewhere , so I purchased another set of the same earphones just for the box and im still using the old earbuds with the new box , I have dropped them quite roughly several times , one or two times I have thrown them away because I was angry due to some reason and they're still going one without an ounce of reduction in quality ,  this is why I'm calling them marvellous... After such rough and extreme usage , i just can't find any big noticable flaw in them.... But yes , I'll like to add that everything depreciates with time , after 2 years of usage , their batter life isn't as good as when they were new , but the sound quality ,the durability, it's still 90% of how it was when they were new...There may be some people who are extra extra critical and would say they give 4.6 to music , 3. Blah blah blah to sound , to bass , don't bother listening to nerds and wannabe tech gurus , go for it , best in class , marvel of engineering , this is gonna be one of those few purchases that youre gonna be proud of , over and out...Read more"
4.0 out of 5 stars,Overall review after 1 year of using.,"one of the best product bought buy me, in the starting i only had issue with the fitting of the earbuds in my ear as they were falling of but soon after they started fitting perfectly the sound quality is quite decent and battery life is also quite good overall this product is worth to buy and lives upto its expectation.Read more"
5.0 out of 5 stars,"OnePlus Nord Buds 3r: Stylish, Sturdy & Smart! ⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐ Absolutely Loving These Buds! A Great Buy! 🔥I just picked up these OnePlus Nord Buds 3r from Amazon, and I'm very impressed. Here’s a quick breakdown to help you decide! 👇✨ Design & Comfort• Case: Feels incredibly sturdy & premium in hand. Sleek finish! 👌• Buds: Super lightweight and stylish. 💎• Fit: Extremely comfortable, I can wear them for hours without any pain. 😌📱 Amazing App Integration (HeyMelody)• Official Support: Yes, it works seamlessly with the 'HeyMelody' app! 🎉• Features: You can easily customize touch controls, check precise battery levels, and manage EQ settings for the perfect sound. 🎧 So convenient!🎮 A Note on Gaming Mode• While most things are perfect, the Gaming Mode has a tiny bit of latency. 🤏• If you are a very serious gamer, you might notice a very minor sound lag during fast-paced games. For movies and music, it’s flawless! 🎬🎶💰 Final Verdict• Overall, this is a top-tier product with a high-quality feel. 🏆• If you want sleek design + great app support, this is a perfect choice! Highly recommended. ✅Read more"
5.0 out of 5 stars,Sound,"Among the myriad of audio accessories available on the market today, the particular model of air buds offered by OnePlus stands out remarkably as one of the preeminent choices. Its exceptional qualities elevate it to a top-tier position within its category, making it an incredibly compelling option for discerning users seeking superior sound and functionality.Read more"
5.0 out of 5 stars,Good Experience,Unbelievable experience OnePlus earbuds sound is really osm and sound is also very smooth it doesn't that high or low equal so I think this one is best earbuds under 1800 Don't think too much just go for itRead more
5.0 out of 5 stars,Funtastically amazing,"I recently bought the OnePlus Nord Buds 3R, and I’m honestly super impressed! The design looks fantastic, and the color gives it a really premium feel. It fits perfectly in my ears, so I can wear it comfortably for long hours without any discomfort.The sound quality is amazing with clear vocals and good bass, making music and calls enjoyable. The battery life is another big highlight — it easily lasts a long time without needing frequent charging, which is very convenient.Overall, it’s a great product for the price. Stylish, comfortable, and powerful — definitely worth buying!Read more"
4.0 out of 5 stars,Honest Review After 1 Week of Use,"I am sharing my honest review after using these earbuds for one week. Previously, I used the boAt Nirvana Ion, so my comparison is based on that experience.Pros:The sound quality is good.Battery backup / playback time is also good.The build quality feels solid and premium.Fit perfectly in ears not loose at all.Cons:These earbuds do not have an ear-detection sensor. Because of this, I have to manually pause the music before removing the earbuds from my ears. This feature was available in the Nirvana Ion and was very useful.The Bluetooth connectivity range seems weak. After moving just 4–5 steps away from the phone, the music starts glitching or disconnecting. This was not an issue with the Nirvana Ion—even from two rooms away, it stayed connected.Read more"
4.0 out of 5 stars,Nice 🙂,"Good item,  good quality,  and value for money.I purchased another brand before this , but I returned it two times after that I purchased this one and I feel very good and the connectivity also good.Read more"
5.0 out of 5 stars,Great product + Great Customer Service,"I purchased the Boat Airdopes Alpha (Swedish White), and I’m genuinely impressed. The Swedish White color looks clean, minimal, and premium — it really stands out compared to typical earbuds in this range.Sound quality is solid for the price. The bass is punchy and satisfying without overpowering vocals, making it great for music, calls, and daily use. The compact case design is another big plus — lightweight, easy to carry, and feels sturdy. The overall build quality definitely exceeds expectations at this price point.What truly impressed me was the customer support. When I faced an issue, the replacement process was smooth and prompt. Not only was the product replaced quickly, but I also received a wired earphone as a complimentary gesture. That level of service really builds trust.Overall, great design, strong bass, compact build, and reliable support — excellent value for money. Highly recommended.Read more"
4.0 out of 5 stars,Good but..,Nice product I get this in only 700rsBuy its quality is not upto mark but it is good on its priceRead more
